alert	0.479	0.820	0.648
algebraic	0.531	0.412	0.441
algorithm	0.448	0.394	0.559
alias	0.541	0.353	0.333
alibi	0.396	0.528	0.556
alien	0.410	0.615	0.491
alienated	0.410	0.423	0.559
alienation	0.378	0.530	0.462
alike	0.653	0.173	0.444
alive	0.816	0.637	0.731
allegorical	0.517	0.558	0.598
allegory	0.615	0.580	0.509
allegro	0.635	0.627	0.453
allergic	0.135	0.549	0.273
alley	0.347	0.500	0.355
alliance	0.696	0.473	0.769
alligator	0.354	0.704	0.645
allure	0.804	0.585	0.686
alluring	0.837	0.745	0.843
allusion	0.440	0.308	0.462
ally	0.792	0.320	0.688
almanac	0.688	0.190	0.412
almighty	0.938	0.874	0.958
almond	0.698	0.183	0.314
aloft	0.771	0.373	0.700
aloha	0.698	0.440	0.441
alone	0.333	0.167	0.216
alongside	0.458	0.333	0.347
aloof	0.189	0.423	0.302
aloud	0.458	0.713	0.750
alpha	0.708	0.340	0.755
alphabet	0.562	0.204	0.672
alphabetical	0.537	0.296	0.535
alpine	0.594	0.337	0.474
altar	0.724	0.387	0.635
alter	0.333	0.694	0.654
altered	0.255	0.765	0.500
alternate	0.625	0.363	0.589
alternating	0.480	0.494	0.542
alternative	0.628	0.373	0.631
altitude	0.708	0.482	0.736
alto	0.656	0.404	0.730
altogether	0.833	0.324	0.644
alzheimers	0.194	0.518	0.319
amalgam	0.438	0.333	0.510
amalgamation	0.406	0.470	0.531
amaretto	0.543	0.551	0.375
amateur	0.469	0.500	0.409
amaze	0.896	0.843	0.783
amazed	0.796	0.779	0.533
amazement	0.750	0.800	0.639
amazing	0.906	0.837	0.849
amazingly	0.918	0.765	0.920
amber	0.635	0.308	0.369
ambience	0.735	0.356	0.426
ambient	0.625	0.360	0.582
ambiguous	0.265	0.462	0.358
ambit	0.479	0.380	0.386
ambition	0.510	0.804	0.661
ambitious	0.484	0.821	0.717
ambivalent	0.510	0.404	0.482
ambrosia	0.571	0.452	0.480
ambulance	0.500	0.750	0.609
ambush	0.281	0.830	0.500
amen	0.781	0.182	0.542
amethyst	0.622	0.406	0.517
amiable	0.847	0.290	0.483
ammunition	0.338	0.635	0.667
amnesia	0.296	0.330	0.308
amorous	0.844	0.670	0.636
amorphous	0.327	0.402	0.349
amour	0.865	0.480	0.652
amp	0.439	0.393	0.375
ampersand	0.480	0.448	0.483
amphetamines	0.133	0.667	0.526
amplitude	0.694	0.439	0.692
amuse	0.812	0.684	0.664
amused	0.942	0.847	0.596
amusement	0.929	0.837	0.803
amusing	0.960	0.829	0.632
ana	0.541	0.300	0.314
anaesthetic	0.449	0.268	0.509
anagram	0.552	0.327	0.449
anal	0.333	0.798	0.334
analgesic	0.417	0.321	0.441
analogue	0.570	0.320	0.446
analogy	0.510	0.367	0.509
analysis	0.729	0.448	0.705
analyze	0.667	0.462	0.710
anarchism	0.125	0.804	0.623
anarchist	0.204	0.700	0.759
anarchy	0.146	0.755	0.620
anathema	0.286	0.490	0.519
anatomic	0.562	0.442	0.546
anatomy	0.562	0.390	0.571
ancestral	0.640	0.481	0.750
anchor	0.520	0.284	0.564
anchorage	0.500	0.325	0.639
ancient	0.420	0.217	0.439
android	0.663	0.436	0.500
anecdote	0.583	0.529	0.500
anesthesia	0.365	0.216	0.394
anesthetic	0.350	0.264	0.482
angel	0.906	0.158	0.704
angelic	0.927	0.298	0.668
anger	0.167	0.865	0.657
angle	0.541	0.330	0.455
angry	0.122	0.830	0.604
angst	0.167	0.888	0.333
anguish	0.153	0.792	0.265
anguished	0.135	0.720	0.307
angular	0.449	0.281	0.444
animal	0.521	0.510	0.513
animate	0.827	0.755	0.635
animated	0.823	0.676	0.538
animation	0.888	0.750	0.549
animosity	0.510	0.724	0.545
annex	0.594	0.350	0.458
anniversary	0.880	0.770	0.723
annoyed	0.104	0.783	0.345
annoying	0.082	0.853	0.348
anointed	0.500	0.368	0.579
anomalous	0.281	0.480	0.423
anomaly	0.188	0.538	0.404
anon	0.479	0.354	0.298
answer	0.537	0.373	0.661
ant	0.448	0.216	0.216
antagonism	0.224	0.618	0.524
antenna	0.521	0.327	0.358
anthem	0.780	0.343	0.729
anthology	0.338	0.406	0.537
anthrax	0.188	0.730	0.500
anthropology	0.490	0.367	0.582
anti	0.365	0.412	0.384
antichrist	0.082	0.837	0.544
anticipation	0.698	0.539	0.711
antics	0.448	0.740	0.236
antidote	0.541	0.490	0.629
antique	0.634	0.290	0.518
antiques	0.540	0.370	0.595
antisocial	0.146	0.686	0.391
anus	0.347	0.644	0.350
anvil	0.380	0.510	0.604
anxiety	0.146	0.865	0.342
anxious	0.281	0.875	0.434
anxiousness	0.235	0.814	0.282
anytime	0.625	0.461	0.436
apache	0.687	0.469	0.500
apartment	0.719	0.393	0.580
apathetic	0.188	0.292	0.333
apathy	0.184	0.212	0.204
ape	0.548	0.389	0.336
aperture	0.612	0.450	0.667
apex	0.570	0.433	0.418
aphrodisiac	0.750	0.846	0.667
apocalypse	0.050	0.867	0.736
apocalyptic	0.173	0.880	0.750
apologetic	0.479	0.461	0.571
apologize	0.551	0.378	0.389
apology	0.571	0.346	0.402
apostrophe	0.469	0.368	0.537
apparatus	0.375	0.353	0.377
apparently	0.531	0.410	0.426
apparition	0.406	0.573	0.636
appeal	0.663	0.598	0.558
appetite	0.704	0.637	0.581
appetizer	0.755	0.560	0.406
applause	0.953	0.857	0.621
apple	0.811	0.300	0.264
apple juice	0.765	0.204	0.294
applejack	0.604	0.431	0.473
appliance	0.582	0.453	0.538
applicable	0.469	0.430	0.667
appreciated	0.910	0.434	0.779
appreciation	0.917	0.529	0.588
appreciative	0.857	0.380	0.654
apprehension	0.385	0.720	0.454
apprehensive	0.406	0.592	0.431
apprentice	0.615	0.413	0.452
approach	0.612	0.392	0.610
appropriate	0.833	0.368	0.759
approved	0.833	0.349	0.698
apricot	0.708	0.320	0.278
apt	0.582	0.418	0.382
aqua	0.656	0.292	0.359
aquamarine	0.729	0.306	0.413
aquarium	0.663	0.327	0.393
aquatic	0.677	0.510	0.463
aqueduct	0.551	0.411	0.534
aqueous	0.429	0.270	0.310
arc	0.552	0.388	0.396
arcade	0.676	0.521	0.502
arcane	0.500	0.490	0.637
arch	0.500	0.354	0.468
archaeology	0.596	0.358	0.691
archaic	0.271	0.327	0.332
archangel	0.837	0.500	0.708
archery	0.594	0.604	0.589
archetype	0.448	0.520	0.569
archipelago	0.745	0.370	0.592
architect	0.776	0.442	0.836
architectural	0.729	0.390	0.670
architecture	0.820	0.390	0.694
archive	0.438	0.294	0.527
arctic	0.615	0.352	0.546
ardent	0.694	0.873	0.722
ardor	0.500	0.780	0.538
arduous	0.344	0.783	0.605
area	0.490	0.306	0.464
arena	0.510	0.235	0.404
argent	0.594	0.418	0.472
argh	0.260	0.538	0.328
arghh	0.292	0.536	0.397
argue	0.093	0.798	0.525
arguments	0.541	0.602	0.657
arid	0.323	0.333	0.379
arithmetic	0.453	0.460	0.634
ark	0.396	0.427	0.543
armada	0.408	0.740	0.868
armed	0.188	0.750	0.808
armor	0.469	0.625	0.784
armored	0.469	0.509	0.861
arms	0.464	0.395	0.483
army	0.417	0.759	0.902
arrange	0.740	0.490	0.571
arranged	0.698	0.531	0.728
arrangement	0.625	0.382	0.683
arrival	0.678	0.510	0.474
arrogance	0.143	0.750	0.620
arrogant	0.115	0.755	0.580
arrow	0.439	0.390	0.454
arsenal	0.365	0.741	0.752
arsenic	0.281	0.472	0.447
arson	0.133	0.904	0.567
arsonist	0.348	0.840	0.500
art	0.812	0.360	0.603
artful	0.771	0.608	0.778
artichoke	0.583	0.218	0.287
articulate	0.677	0.462	0.618
artificial	0.306	0.385	0.351
artillery	0.350	0.912	0.794
artist	0.802	0.442	0.732
artiste	0.844	0.512	0.565
artistic	0.802	0.646	0.632
artistry	0.823	0.346	0.769
artists	0.796	0.667	0.741
artwork	0.896	0.368	0.679
arty	0.490	0.422	0.388
asap	0.571	0.500	0.552
ascend	0.830	0.620	0.812
ascendancy	0.724	0.625	0.700
ascending	0.826	0.644	0.777
ascension	0.765	0.720	0.714
ascetic	0.438	0.375	0.472
ash	0.260	0.210	0.207
ashamed	0.156	0.588	0.228
ashes	0.327	0.279	0.142
ask	0.531	0.440	0.459
asleep	0.604	0.100	0.270
asp	0.438	0.489	0.375
aspen	0.479	0.280	0.395
asphalt	0.479	0.264	0.439
aspiration	0.704	0.724	0.675
aspire	0.812	0.469	0.722
aspirin	0.479	0.271	0.422
ass	0.323	0.750	0.345
assassin	0.073	0.933	0.632
assassination	0.083	0.941	0.525
assault	0.167	0.848	0.550
assertive	0.719	0.412	0.770
asshole	0.133	0.582	0.263
assimilate	0.559	0.391	0.683
association	0.745	0.500	0.817
assume	0.698	0.401	0.464
assumed	0.612	0.247	0.454
assurance	0.675	0.442	0.704
assured	0.878	0.327	0.754
asterisk	0.541	0.288	0.273
asteroid	0.430	0.721	0.623
asteroids	0.361	0.694	0.712
astonishing	0.844	0.802	0.821
astonishment	0.680	0.718	0.519
astral	0.604	0.417	0.567
astrology	0.635	0.340	0.500
astronaut	0.792	0.601	0.761
astronomical	0.600	0.632	0.726
astronomy	0.613	0.474	0.722
astute	0.776	0.658	0.827
asylum	0.407	0.330	0.445
atelier	0.490	0.330	0.705
atheism	0.276	0.460	0.481
atheistic	0.373	0.481	0.466
athlete	0.781	0.718	0.686
athletic	0.857	0.798	0.708
athletics	0.831	0.691	0.740
atlas	0.531	0.306	0.554
atmosphere	0.604	0.300	0.560
atmospheric	0.531	0.420	0.594
atoll	0.480	0.408	0.472
atom	0.510	0.500	0.433
atomic	0.327	0.817	0.713
atonement	0.550	0.602	0.683
atrocity	0.115	0.844	0.593
atrophy	0.177	0.540	0.208
attack	0.286	0.948	0.670
attempt	0.625	0.491	0.431
attention	0.740	0.599	0.774
attentive	0.812	0.520	0.724
attire	0.742	0.388	0.483
attitude	0.760	0.644	0.861
attorney	0.600	0.594	0.754
attraction	0.906	0.774	0.712
attractive	0.906	0.630	0.769
attrition	0.229	0.540	0.259
auburn	0.510	0.240	0.411
auctioneer	0.542	0.732	0.716
audacious	0.740	0.875	0.825
audible	0.673	0.370	0.462
audience	0.698	0.610	0.613
audio	0.709	0.425	0.370
audition	0.750	0.685	0.615
auditorium	0.529	0.490	0.538
august	0.652	0.292	0.462
auntie	0.643	0.275	0.447
aura	0.760	0.333	0.500
aurora	0.817	0.306	0.537
austere	0.500	0.390	0.422
authentic	0.885	0.510	0.782
authenticity	0.670	0.548	0.845
author	0.775	0.343	0.749
authoritative	0.636	0.520	0.890
autism	0.235	0.500	0.447
autistic	0.367	0.337	0.404
auto	0.571	0.569	0.500
autobiographical	0.909	0.462	0.582
autobiography	0.735	0.284	0.629
autograph	0.735	0.565	0.473
autographed	0.781	0.620	0.625
automatic	0.562	0.433	0.664
automobile	0.753	0.625	0.534
automotive	0.656	0.520	0.577
autopilot	0.594	0.462	0.632
autopsy	0.252	0.650	0.538
autumn	0.765	0.204	0.450
avail	0.800	0.430	0.603
avalanche	0.265	0.915	0.683
avarice	0.198	0.726	0.352
avatar	0.633	0.410	0.567
avenge	0.073	0.867	0.559
avenging	0.143	0.880	0.717
avenue	0.677	0.360	0.377
aver	0.492	0.450	0.393
average	0.684	0.280	0.455
aviation	0.708	0.646	0.741
avocado	0.677	0.255	0.287
avoid	0.427	0.442	0.415
awake	0.667	0.469	0.741
awaken	0.729	0.412	0.611
awakening	0.745	0.500	0.618
award	0.865	0.745	0.660
awards	0.958	0.736	0.652
aware	0.656	0.340	0.770
awareness	0.684	0.422	0.810
awe	0.469	0.740	0.300
awed	0.364	0.774	0.361
awesome	0.980	0.897	0.891
awesomeness	0.917	0.647	0.927
awestruck	0.615	0.767	0.680
awful	0.061	0.786	0.450
awkward	0.296	0.650	0.358
awkwardness	0.167	0.454	0.148
axe	0.296	0.690	0.536
axiom	0.439	0.441	0.583
axis	0.209	0.250	0.356
ay	0.500	0.557	0.255
aye	0.562	0.420	0.392
azimuth	0.385	0.461	0.421
azure	0.620	0.256	0.339
babble	0.552	0.441	0.204
babe	0.860	0.536	0.424
baby	0.837	0.365	0.455
bachelor	0.667	0.406	0.600
back	0.438	0.353	0.336
backbone	0.538	0.464	0.620
backgammon	0.580	0.410	0.390
background	0.399	0.357	0.498
backpack	0.729	0.278	0.333
backpacker	0.510	0.730	0.460
backroom	0.406	0.500	0.387
backtrack	0.312	0.525	0.278
backwards	0.302	0.372	0.330
backwater	0.312	0.410	0.161
backwoods	0.541	0.350	0.482
backyard	0.552	0.280	0.302
bacon	0.698	0.406	0.295
bacteria	0.177	0.553	0.570
bad	0.125	0.625	0.373
badass	0.255	0.775	0.745
badday	0.327	0.449	0.373
badge	0.567	0.488	0.691
badger	0.344	0.429	0.357
badly	0.073	0.509	0.286
badness	0.094	0.823	0.463
bag	0.500	0.250	0.314
bagel	0.531	0.363	0.340
baggage	0.610	0.363	0.427
baggy	0.521	0.278	0.452
bagpipes	0.541	0.556	0.412
bakery	0.802	0.500	0.380
baking	0.549	0.455	0.451
bal	0.490	0.412	0.432
balance	0.684	0.265	0.735
balanced	0.806	0.255	0.745
balcony	0.562	0.392	0.380
bald	0.306	0.184	0.268
bale	0.437	0.363	0.412
ball	0.740	0.427	0.317
ballad	0.792	0.284	0.424
ballerina	0.802	0.660	0.475
ballet	0.656	0.480	0.358
ballistic	0.260	0.806	0.685
balloon	0.729	0.245	0.315
ballroom	0.847	0.635	0.448
ballsy	0.531	0.491	0.414
balm	0.625	0.275	0.414
balmy	0.684	0.327	0.545
balsam	0.663	0.250	0.385
bam	0.427	0.472	0.390
bamboo	0.646	0.222	0.356
ban	0.146	0.689	0.587
banana	0.612	0.230	0.241
band	0.648	0.552	0.525
bandit	0.094	0.796	0.567
bandwagon	0.625	0.651	0.509
bane	0.265	0.694	0.366
bang	0.265	0.951	0.740
banger	0.378	0.540	0.538
banished	0.052	0.713	0.370
banjo	0.469	0.400	0.370
bank	0.562	0.327	0.675
bankrupt	0.163	0.673	0.337
banquet	0.765	0.571	0.600
banshee	0.408	0.565	0.481
banter	0.594	0.677	0.464
baptism	0.844	0.384	0.566
bar	0.500	0.531	0.481
barb	0.448	0.365	0.417
barbarian	0.323	0.896	0.713
barbaric	0.235	0.798	0.738
barbecue	0.792	0.643	0.456
barber	0.543	0.459	0.356
barbershop	0.597	0.441	0.382
bard	0.470	0.410	0.439
bare	0.333	0.717	0.296
barefoot	0.445	0.373	0.241
barf	0.340	0.491	0.394
bargain	0.653	0.533	0.670
baritone	0.592	0.529	0.500
bark	0.360	0.602	0.395
barks	0.427	0.694	0.325
barn	0.510	0.452	0.425
barney	0.451	0.378	0.440
barnyard	0.510	0.353	0.336
baron	0.520	0.358	0.709
baroness	0.625	0.453	0.755
baroque	0.490	0.357	0.418
barracuda	0.333	0.713	0.510
barrage	0.388	0.871	0.627
barrel	0.429	0.298	0.474
barren	0.173	0.373	0.221
barricade	0.323	0.667	0.673
barroom	0.686	0.619	0.470
bartender	0.573	0.698	0.585
base	0.635	0.298	0.553
baseball	0.660	0.760	0.563
baseline	0.483	0.367	0.509
basement	0.388	0.500	0.268
bash	0.385	0.546	0.463
basic	0.643	0.102	0.395
basics	0.688	0.311	0.491
basket	0.458	0.227	0.336
basketball	0.814	0.764	0.435
bass	0.427	0.206	0.268
bass guitar	0.738	0.370	0.294
basso	0.417	0.420	0.439
bassoon	0.500	0.433	0.310
bastard	0.094	0.692	0.289
bastards	0.082	0.680	0.422
bat	0.324	0.409	0.480
bath	0.725	0.260	0.263
bathroom	0.561	0.283	0.345
bathtub	0.625	0.240	0.318
baton	0.272	0.235	0.519
battery	0.480	0.425	0.442
battle	0.365	0.945	0.868
battlefield	0.133	0.918	0.781
battleship	0.479	0.750	0.726
batty	0.375	0.619	0.274
bawdy	0.184	0.823	0.508
bay	0.719	0.365	0.569
bayou	0.469	0.431	0.324
bazaar	0.604	0.340	0.500
bazooka	0.302	0.824	0.634
bday	0.729	0.600	0.415
be	0.670	0.240	0.554
beach	0.885	0.529	0.455
beaches	0.865	0.500	0.538
beacon	0.580	0.407	0.537
beady	0.448	0.417	0.443
beak	0.375	0.363	0.411
beam	0.584	0.349	0.382
bean	0.667	0.269	0.264
beanbag	0.450	0.380	0.340
beanie	0.500	0.230	0.263
bear	0.448	0.570	0.475
beard	0.490	0.261	0.371
bearded	0.439	0.337	0.391
bearing	0.571	0.367	0.474
beast	0.214	0.780	0.732
beastly	0.146	0.874	0.843
beat	0.279	0.647	0.492
beaten	0.083	0.846	0.265
beating	0.153	0.833	0.481
beatnik	0.429	0.510	0.382
beau	0.612	0.440	0.432
beautiful	0.875	0.614	0.648
beautify	0.898	0.592	0.736
beauty	0.842	0.600	0.644
beaver	0.490	0.344	0.393
bebop	0.482	0.490	0.358
beck	0.580	0.375	0.418
bed	0.604	0.173	0.327
bedrock	0.561	0.340	0.598
bedroom	0.744	0.296	0.491
bedside	0.604	0.167	0.375
bedtime	0.673	0.314	0.373
bee	0.520	0.509	0.309
beef	0.582	0.312	0.492
beehive	0.541	0.700	0.422
beep	0.595	0.541	0.304
beer	0.592	0.654	0.500
bees	0.562	0.635	0.412
beeswax	0.583	0.402	0.375
beetle	0.323	0.356	0.295
beg	0.292	0.608	0.328
beggar	0.240	0.402	0.116
begging	0.292	0.461	0.202
begin	0.677	0.569	0.763
beginner	0.490	0.480	0.387
beginning	0.816	0.528	0.558
beginnings	0.837	0.527	0.600
behemoth	0.583	0.781	0.853
behold	0.610	0.284	0.449
beige	0.490	0.222	0.224
belch	0.194	0.562	0.240
belief	0.896	0.375	0.656
believable	0.866	0.390	0.676
believe	0.781	0.370	0.682
believer	0.725	0.445	0.564
believing	0.870	0.418	0.833
bell	0.552	0.510	0.505
bellman	0.540	0.250	0.371
belly	0.510	0.388	0.387
belong	0.643	0.405	0.569
beloved	0.969	0.613	0.708
belt	0.541	0.322	0.445
bend	0.571	0.324	0.368
bender	0.490	0.510	0.466
beneath	0.354	0.173	0.233
benign	0.694	0.440	0.509
bent	0.375	0.453	0.298
bereft	0.229	0.490	0.336
berlin	0.592	0.423	0.571
berserk	0.398	0.556	0.480
beseech	0.330	0.441	0.600
bestdayever	0.760	0.646	0.593
bestial	0.260	0.761	0.674
besties	0.888	0.509	0.614
bet	0.385	0.698	0.432
beta	0.710	0.370	0.439
betrayal	0.083	0.719	0.418
betrayed	0.122	0.769	0.308
betty	0.542	0.358	0.381
beware	0.151	0.596	0.518
bewilder	0.306	0.571	0.289
bewildered	0.230	0.630	0.300
bewilderment	0.312	0.716	0.216
bias	0.400	0.370	0.541
bib	0.385	0.396	0.339
bible	0.719	0.225	0.726
biblical	0.635	0.304	0.712
bicycle	0.708	0.519	0.425
bid	0.760	0.530	0.655
bidding	0.586	0.644	0.509
bide	0.368	0.407	0.282
bier	0.497	0.448	0.407
big	0.802	0.588	0.812
biggie	0.531	0.481	0.500
bigmouth	0.417	0.577	0.430
bigotry	0.356	0.737	0.481
bike	0.708	0.500	0.333
biker	0.604	0.710	0.567
bikini	0.730	0.639	0.353
bile	0.157	0.461	0.324
bilingual	0.735	0.490	0.606
bill	0.396	0.402	0.535
billboard	0.594	0.317	0.481
billiards	0.643	0.559	0.387
billion	0.719	0.564	0.782
billionaire	0.806	0.667	0.923
billy	0.490	0.397	0.375
bimbo	0.396	0.370	0.300
binary	0.490	0.356	0.420
bing	0.573	0.453	0.415
binge	0.304	0.650	0.500
bingo	0.735	0.667	0.429
bio	0.612	0.225	0.490
biochemistry	0.552	0.531	0.596
biography	0.698	0.229	0.718
biology	0.479	0.274	0.546
bionic	0.571	0.570	0.788
biosphere	0.684	0.351	0.579
bipolar	0.208	0.685	0.426
bird	0.729	0.357	0.364
birdie	0.594	0.394	0.407
birdman	0.490	0.567	0.604
birth	0.896	0.655	0.536
birthday	0.969	0.844	0.575
birthing	0.796	0.877	0.519
birthmark	0.630	0.461	0.500
birthright	0.684	0.417	0.714
bis	0.440	0.420	0.345
biscuit	0.888	0.260	0.231
bishop	0.594	0.184	0.725
bistro	0.594	0.472	0.396
bit	0.427	0.310	0.225
bitch	0.276	0.740	0.343
bitchy	0.188	0.700	0.373
bite	0.219	0.796	0.510
biter	0.260	0.598	0.500
bitter	0.218	0.627	0.411
bitterness	0.115	0.633	0.270
bittersweet	0.469	0.569	0.474
bitty	0.469	0.271	0.257
biz	0.500	0.473	0.473
bizarre	0.379	0.620	0.392
blabbermouth	0.323	0.640	0.422
blackbird	0.520	0.340	0.405
blacken	0.208	0.500	0.228
blackjack	0.419	0.679	0.452
blackmail	0.094	0.802	0.482
blackness	0.260	0.480	0.406
blackout	0.126	0.530	0.349
blacksmith	0.480	0.531	0.702
blade	0.378	0.602	0.594
blame	0.115	0.640	0.309
blameless	0.759	0.196	0.343
bland	0.300	0.226	0.157
blank	0.531	0.229	0.250
blanket	0.740	0.132	0.391
blase	0.420	0.310	0.412
blasphemous	0.210	0.755	0.491
blasphemy	0.146	0.794	0.406
blast	0.167	0.929	0.777
blaster	0.459	0.538	0.554
blatant	0.327	0.677	0.675
blaze	0.698	0.467	0.658
blazing	0.594	0.896	0.735
bleach	0.336	0.282	0.337
bleak	0.204	0.427	0.272
bleed	0.041	0.843	0.346
bleeding	0.135	0.817	0.408
